科目,章节,题目,答案
生物,二十五、人体生命活动的调节,"2.__________________调节________曲度可看清远近不同的物体，看________晶状体曲度变小,看________晶状体曲度变大。",睫状体；晶状体；远处；近处
生物,二十五、人体生命活动的调节,3.人们常说的“蓝眼睛”、“黑眼睛”实际上指的是_______________。“白眼珠”指的是_________。,虹膜的颜色；巩膜
生物,二十五、人体生命活动的调节,"4.虹膜中央的小孔为________,在________处，瞳孔变在_________处瞳孔变小；在_____________处瞳孔变大。",虹膜中央的小孔为瞳孔，在明亮处，瞳孔变小在黑暗处，瞳孔变大
生物,二十五、人体生命活动的调节,"5.__________:眼球前后径________或晶状体曲度________,物像落在视网膜的________,可佩戴________矫正。",过长；过大；前方；凹透镜
生物,二十五、人体生命活动的调节,":眼球前后径________或晶状体曲度________,物像落在视网膜的________,可佩戴________矫正。",过短；过小；后方；凸透镜
生物,二十五、人体生命活动的调节,6.听觉的形成：声波→外耳道→________(产生振动)→听小骨→________(听觉感受器)→听觉神经→________→________(听觉形成的部位)→听觉。,鼓膜；耳蜗；大脑皮层；听觉中枢
生物,二十五、人体生命活动的调节,★当遇到巨响时，应___________________，或闭嘴和捂耳朵;目的是保持___________________________,张大嘴，使咽鼓管张开；鼓膜两侧气压平衡
生物,二十五、人体生命活动的调节,7.神经系统是由脑、脊髓以及它们发出的神经组成。神经系统可以分为_______________和______________,中枢神经系统；周围神经系统
生物,二十五、人体生命活动的调节,(1)中枢神经系统由_______和_______组成；脑由_________、__________和__________组成,脑、脊髓；大脑、小脑和脑干
生物,二十五、人体生命活动的调节,"①大脑表面是_______________,是调节人体生理活动的_______________。大脑皮层具有感觉、运动、________等神经中枢。__________________是人类特有的。",大脑皮层；最高级中枢；语言；语言中枢
生物,二十五、人体生命活动的调节,②_______协调运动，保持__________等基本生命活动。,小脑；身体平衡
生物,二十五、人体生命活动的调节,"③脑干(活命中枢)调节_______、_______、血压等基本生命活动
脊髓：有_______和传导的功能",心跳、呼吸、反射
生物,二十五、人体生命活动的调节,(2)周围神经系统由_________和____________组成,脑神经；脊神经
生物,二十五、人体生命活动的调节,"8.神经系统结构和功能的基本单位是________,包括细胞体(有细胞核)和突起(包括树突和轴突)。",神经元
生物,二十五、人体生命活动的调节,9.神经调节的基本方式是_____________，反射的结构基础是______________。,反射；反射弧
生物,二十五、人体生命活动的调节,10.反射弧结构包括感受器→传入神经→__________→传出神经→__________。,感受器→传入神经→神经中枢→传出神经→效应器
生物,二十五、人体生命活动的调节,★反射弧必须完整，_______________。当感受器、传入神经、神经中枢中的任一部分受损，则机体_______________;当传出神经或效应器受损，则机体_______________________。,缺一不可；没感觉，没反应；有感觉，没反应。
生物,二十五、人体生命活动的调节,"11.反射的类型：简单反射(_______________)(生来就有,神经中枢在________,例如膝跳反射、排尿反射等);",非条件反射；脊髓
生物,二十五、人体生命活动的调节,"反射的类型：复杂反射(_______________)(后天形成,神经中枢在_______________)",条件反射，大脑皮层
生物,二十五、人体生命活动的调节,★与_______________有关的反射是_______________的，如谈梅止渴、谈虎色变等。,语言文字；人类特有
生物,二十五、人体生命活动的调节,"12.内分泌腺:________导管，分泌物是激素，直接进入___________________,如胸腺、肾上腺、睾丸、卵巢等。_______________:________导管，分泌物_______________,如唾液腺、汗腺等。",无；毛细血管
生物,二十五、人体生命活动的调节,外分泌腺：___导管，分泌物通过________，如唾液腺、汗腺等。,有;导管传送
生物,二十五、人体生命活动的调节,"13.激素调节(1)垂体:分泌_______________,促进生长和发育；幼年分泌不足会患_______________分泌过多会患,成年分泌过多会患_______________",生长激素；侏儒症；巨人症;肢端肥大症
生物,二十五、人体生命活动的调节,"(2)甲状腺:分泌_______________,可促进身体及_______________发育；幼年分泌过少会患_______________成年分泌过多会患________长期饮食缺碘会患________",甲状腺激素；神经系统；呆小症；甲亢;患地方性甲状腺肿
生物,二十五、人体生命活动的调节,(3)胰岛:分泌_______________调节糖类在体内的吸收、利用、转化等；分泌过少患_______________,胰岛：分泌胰岛素；糖尿病
生物,二十六、人类活动对环境的影响,我国实行计划生育政策。鼓励___________、___________。,晚婚晚育、少生优生
生物,二十六、人类活动对环境的影响,2.酸雨是指pH小于________的雨水，是_______________等酸性气体大量排放造成的，被称为“_______________”。,5.6；二氧化硫；空中死神
生物,二十六、人类活动对环境的影响,3.控制酸雨的根本措施：通过________________________，减少___________________________等污染物排放,净化装置，煤、石油
生物,二十六、人类活动对环境的影响,"4.重金属污染:水和土壤中有_____、______和____等重金属污染物，会通过________累积，危害人类健康。水俣病(汞中毒),痛痛病(镉中毒)",汞、镉和砷；食物链
生物,二十六、人类活动对环境的影响,5.温室效应：由于全球_______________的排放量不断增加，导致地平面气温不断________的现象。,二氧化碳；上升
生物,二十七、动物的主要类群——无脊椎动物,"1.目前已知的动物大约有__________。根据体内__________________,可以将动物分为两大类：_______________和_______________。无脊椎动物约占动物种类总数的95%,脊椎动物占5%。",150万种；有无由脊椎骨组成的脊柱；无脊椎动物；脊椎动物
生物,二十七、动物的主要类群——无脊椎动物,"2.无脊椎动物
(1)腔肠动物门：身体呈_______________体表有_______________、_______________。代表动物：水螅、水母、海葵、海蜇、珊瑚虫等。(两水两海一虫)",辐射对称；刺细胞、有口无肛门
生物,二十七、动物的主要类群——无脊椎动物,★水螅：体壁是由内胚层和外胚层___________构成的。由体壁围成的空腔叫做___________，触手分布着大量的___________，用来御敌和捕食，水螅的生殖方式是___________。,两层细胞；消化腔；刺细胞；出芽生殖
生物,二十七、动物的主要类群——无脊椎动物,"(1)扁形动物门：身体呈_______________背腹_________,_______________。代表动物：涡虫(自由生活);寄生：绦虫、血吸虫、华枝睾吸虫。(涡绦血睾)",两侧对称；扁平；有口无肛门
生物,二十七、动物的主要类群——无脊椎动物,★涡虫：身体由内胚层、中胚层、外胚层_______________构成的。,三层细胞
生物,二十七、动物的主要类群——无脊椎动物,★中间宿主：①华枝睾吸虫：先寄生________等淡水螺，再感染草鱼、鲫鱼等淡水鱼以及虾类。②血吸虫病：由_______引起。③绦虫：猪。,纹沼螺；钉螺
生物,二十七、动物的主要类群——无脊椎动物,"(2)线形动物门：身体细长，呈圆柱形，体表有_______________,_______________。代表动物：寄生：___________、蛲虫、丝虫；___________(自由生活，科研实验动物)。",角质层，有口有肛门；蛔虫；秀丽隐杆线虫
生物,二十七、动物的主要类群——无脊椎动物,★蛔虫适于寄生生活的特点：①__________________②______________________③____________________,①体表有角质层；②消化管简单；③生殖器官发达
生物,二十七、动物的主要类群——无脊椎动物,(3)环节动物门：身体呈圆筒形，由许多彼此_______________组成，靠_______或_______辅助运动。代表动物：蚯蚓、沙蚕、水蛭(蚂蝗)等。,相似的体节；刚毛或疣足
生物,二十七、动物的主要类群——无脊椎动物,"★区别蚯蚓前后的结构：________(靠近环带为前端)。蚯蚓的运动：刚毛+肌肉。蚯蚓的呼吸是_______________,观察实验中用________擦拭体表的目的是________",环带；湿润的体壁；湿棉花；维持正常呼吸
生物,二十七、动物的主要类群——无脊椎动物,"(4)软体动物门：柔软的身体表面有________,大多具有________,运动器官是________。10万种以上，是动物界的_______________。代表动物：缢蛏、扇贝、河蚌、鲍鱼、蜗牛、章鱼、鱿鱼等。",外套膜；贝壳；第二大类群；外套膜
生物,二十七、动物的主要类群——无脊椎动物,★贝壳、珍珠由________分泌。★______的壳(石决明)、乌贼的壳(海螵蛸)和珍珠粉可以入药。,外套膜；鲍鱼
生物,二十七、动物的主要类群——无脊椎动物,(5)节肢动物门：体表有坚韧的_______________身体和附肢都_______。最大的动物类群，有____________万种，代表动物：①蛛形纲：如蜘蛛；②多足纲：如蜈蚣；③甲壳纲：体表有质地较硬的甲，如虾、蟹；,外骨骼；分节；120
生物,二十七、动物的主要类群——无脊椎动物,"④昆虫纲：身体分为______________________________三部分，运动器官________和______生于胸部。3对足、1对触角，一般具有2对翅,如蝗虫、蝴蝶。",头部、胸部、腹部；足和翅
生物,二十七、动物的主要类群——无脊椎动物,★气门：气体进出；气管：__________，__________(在腹部)。,气体交换；呼吸器官
生物,二十七、动物的主要类群——无脊椎动物,★外骨骼的功能______________减少__________________；但是限制生长发育，所以需要定期_______。,保护；体内水分蒸发；蜕皮
生物,二十八、动物的主要类群——脊椎动物,"(1)鱼纲：生活在水中,体表有________覆盖，用________呼吸，通过_______________________________________作用游泳。",鳞片；鳃；尾部和躯干部的摆动以及鳍的协调；
生物,二十八、动物的主要类群——脊椎动物,鱼纲代表动物：四大家鱼(青草鲢鳙)、鲨鱼、中华鲟、______、__________、_______、海龙等。,泥鳅、黄鳝、海马
生物,二十八、动物的主要类群——脊椎动物,★鱼的身体分为________、____________和___________三部分。鱼的体型呈_____型减少阻力;,头部、躯干部和尾部；流线
生物,二十八、动物的主要类群——脊椎动物,鱼的鳞片有________作用；黏液减少_________；侧线______________________。,保护；阻力；感知水流、测定方向
生物,二十八、动物的主要类群——脊椎动物,"鱼用_____游泳(胸鳍、腹鳍、背鳍、_____保持平衡；_____控制前进方向，口和鳃盖________,是在呼吸；鱼鳃呈鲜红色，是因为有丰富的毛细血管。",鳍；臀鳍；尾鳍;口和鳃盖交替张合
生物,二十八、动物的主要类群——脊椎动物,★鱼之所以能够在水中生活的原因：一是________________________________;二是________,能靠游泳来获取食物和防御敌害；二是能在水中呼吸
生物,二十八、动物的主要类群——脊椎动物,★似鱼非鱼：_____、章鱼、墨鱼(软体)；_______(两栖)；鳄鱼、甲鱼(爬行)；_____(哺乳),鱿鱼；娃娃鱼；鲸鱼
生物,二十八、动物的主要类群——脊椎动物,"(2)两栖纲：________生活在________,用________呼吸；成体生活在________上，也可在_______________用________呼吸，可辅助呼吸。代表动物：青蛙、蟾蜍、大鲵(娃娃鱼)、蝾螈。",幼体；水中；鳃；陆地；水中游泳；肺
生物,二十八、动物的主要类群——脊椎动物,★两栖动物的生殖_______离不开水,生殖
生物,二十八、动物的主要类群——脊椎动物,"(3)爬行纲：体表覆盖___________,用________呼吸，在________上产卵，卵表面有_______________代表动物：壁虎、蜥蜴、龟、鳖、鳄鱼等。",角质的鳞片或甲；肺；陆地；坚韧的卵壳
生物,二十八、动物的主要类群——脊椎动物,★爬行动物是_____________________________________________。,真正适应陆地生活的脊椎动物
生物,二十八、动物的主要类群——脊椎动物,"爬行动物适应陆地生活的原因①有________,头可以灵活的转动，便于在陆地上寻找食物和发现敌害。",颈
生物,二十八、动物的主要类群——脊椎动物,爬行动物适应陆地生活的原因②_______________不能跳跃，但能贴地面迅速爬行。,四肢短小
生物,二十八、动物的主要类群——脊椎动物,"爬行动物适应陆地生活的原因③皮肤干燥，表面覆盖_______________________,既可以保护身体又能______________________________.",角质的鳞片或者甲；减少体内水分的蒸发
生物,二十八、动物的主要类群——脊椎动物,"爬行动物适应陆地生活的原因④________,气体交换能力较强，只靠肺的呼吸就能满足在陆地上对氧气的需求。",肺发达
生物,二十八、动物的主要类群——脊椎动物,"爬行动物适应陆地生活的原因⑤卵产在陆地上，受精卵较大，卵内________,并含有一定的水分，卵外还有________保护，使卵能够在陆地环境中发育，因此，爬行动物的生殖和发育可以摆脱对________的依赖",养料多；坚韧的卵壳；水环境
生物,二十八、动物的主要类群——脊椎动物,"(4)鸟纲：体表覆羽,前肢变成____,有喙无齿，有________辅助呼吸。代表动物：家鸽、鸵鸟、企鹅等。",翼，气囊
生物,二十八、动物的主要类群——脊椎动物,"鸟类适于飞行生活的形态结构和生理特点：①体表________,前肢变成________,有利于扇动空气；",覆羽；翼
生物,二十八、动物的主要类群——脊椎动物,"鸟类适于飞行生活的形态结构和生理特点：②身体呈________,有利于__________________；具有发达的龙骨突，增大了胸肌的附着面积。",流线型；减少空气阻力
生物,二十八、动物的主要类群——脊椎动物,"鸟类适于飞行生活的形态结构和生理特点：③骨骼__________，长骨中空,有利于________________;具有发达的________,增大了胸肌的附着面积。",轻薄且坚固；减轻体重；龙骨突
生物,二十八、动物的主要类群——脊椎动物,鸟类适于飞行生活的形态结构和生理特点：④_______________附着在龙骨突上，为飞行提供动力；,胸肌发达
生物,二十八、动物的主要类群——脊椎动物,"鸟类适于飞行生活的形态结构和生理特点：⑤食量大，______________，______________,不储存粪便，有利于减轻体重；",消化能力强；直肠短；
生物,二十八、动物的主要类群——脊椎动物,鸟类适于飞行生活的形态结构和生理特点：⑥________呼吸，提高______________________________;气囊只储存气体不进行____________________；,双重；气体交换的效率；气体交换
生物,二十八、动物的主要类群——脊椎动物,"鸟类适于飞行生活的形态结构和生理特点：⑦心肌发达，_______________,血液输送氧、营养物质的能力强。",血液循环快
生物,二十八、动物的主要类群——脊椎动物,"(5)哺乳纲：体表_______;胎生，哺乳,牙齿有______、_________、________的分化；_______________代表动物：鸭嘴兽、家兔、猫、虎、海豚、鲸鱼等。★门齿——切断食物，犬齿——撕咬食物，臼齿——咀嚼食物。",披毛；门齿、犬齿、臼齿；体内有膈
生物,二十八、动物的主要类群——脊椎动物,"哺乳纲
★门齿——切断食物，犬齿——撕咬食物，臼齿——_______食物。
★胎生、哺乳提高了哺乳动物后代的________。
★________是哺乳动物特有的结构。",咀嚼；成活率；膈
生物,二十八、动物的主要类群——脊椎动物,2.根据体温是否随着环境温度的变化而改变，可将动物分成两类：________________:鸟、哺乳动物；______________:鱼、两栖动物、爬行动物。,恒温动物；变温动物
生物,二十八、动物的主要类群——脊椎动物,3.昆虫是唯一会飞行的________动物，蝙蝠是唯一会飞行的________动物。,无脊椎；哺乳
生物,二十九、动物的运动和行为,1.动物的运动系统组成：①骨、__________、_________另一种说法骨骼(=骨+关节)、肌肉(骨骼肌)★骨是杠杆、________________、_______________,关节、肌肉
生物,二十九、动物的运动和行为,★骨是杠杆、________________、_______________,关节是支点；肌肉是动力
生物,二十九、动物的运动和行为,2.关节包括________(关节头和关节窝)、________、________、________。关节既牢固又灵活。,关节面；关节囊；关节腔；关节软骨
生物,二十九、动物的运动和行为,"关节牢固：________把两骨牢固连接
关节灵活：①关节软骨：减少摩擦，________。②关节腔内的
关节________：减少摩擦",关节囊；缓冲震动；滑液
生物,二十九、动物的运动和行为,"★关节疾病：①____________：关节头从关节窝中脱出；
②____________：关节腔发炎，关节囊病变(关节腔内的滑液由____________分泌)",脱臼；关节炎；关节囊
生物,二十九、动物的运动和行为,3.骨骼肌包括________(中间较粗)和________(两端较细，_____________)<一肉跨两骨>,肌腹；肌腱；绕过关节连在不同的骨上
生物,二十九、动物的运动和行为,"★骨骼肌特性：受到刺激而收缩，但只能收缩牵拉骨，不能推开骨，故与骨连接的肌肉至少要两组。________时，肱________头肌收缩，________肱头肌舒张________;________时，肱________头肌________,肱________头肌_________;直臂提重物，________________;双手自然下垂，_______________",屈肘；肱二头肌收缩，肱三头肌舒张
生物,二十九、动物的运动和行为,伸肘时，肱_______头肌舒张，肱_______头肌收缩；直臂提重物，都____________；双手自然下垂，都____________。,肱二头肌舒张，肱三头肌收缩；收缩；舒张
生物,二十九、动物的运动和行为,4.运动的产生：骨骼肌受到神经传来的兴奋→_____________→骨骼肌牵动骨→_____________→躯体产生运动。,肌肉收缩；骨绕着相应的关节活动
生物,二十九、动物的运动和行为,"★运动并不是仅靠运动系统完成的，还需要_______________________,以及______________________________的配合。",神经系统的调节；呼吸、消化、循环等系统
生物,二十九、动物的运动和行为,(1)按________________:取食行为、防御行为(不同种生物)、攻击行为(同种生物)、繁殖行为等。,行为的功能
生物,二十九、动物的运动和行为,(2)按行为的获得途径：①____________行为和②____________行为。,先天性；学习
生物,二十九、动物的运动和行为,"①先天性行为：_______________,由动物体内的遗传物质所决定的行为。实例：蜜蜂采蜜、蚂蚁作巢、鸟类迁徙、小鸟在池边喂金鱼等。",生来就有的
生物,二十九、动物的运动和行为,②学习行为：在_______________的基础上，通过环境因素的作用，由_______________________而获得的行为。实例：蚯蚓走迷宫，老马识途、大山雀喝牛奶，黑猩猩钓取白蚁等。,遗传因素；生活经验和学习
生物,二十九、动物的运动和行为,"★动物越________,学习能力越_____,“尝试与错误”的_______________。",高等；强；次数越少
生物,二十九、动物的运动和行为,"6.社会行为，群体内部形成_______________成员之间有明确的________,有的还形成________。",一定的组织；分工；等级
生物,二十九、动物的运动和行为,7.动物信息交流的方式：________、________、_______,动作、声音、气味
生物,二十九、动物的运动和行为,"★动物信息交流方式的应用：提取或人工合成蝶蛾类昆虫的_______________,用于诱杀害虫。",性外激素
生物,二十九、动物的运动和行为,8.动物在自然界中的作用：(1)动物对_______________________有着重要的作用；,维持生态平衡
生物,二十九、动物的运动和行为,8.动物在自然界中的作用：(2)动物能________生态系统的_______________;,促进；物质循环
生物,二十九、动物的运动和行为,8.动物在自然界中的作用：(3)动物能帮助植物_________、______________。,传粉、传播种子
生物,二十九、动物的运动和行为,"★区分物质循环和生态平衡
物质循环：侧重________,关键信息在于_",物质；物质的转换
生物,二十九、动物的运动和行为,"区分物质循环和生态平衡生态平衡：
生态平衡侧重________关键信息在于____________________________。",生物；生物数量、种类的变化
生物,二十九、动物的运动和行为,9.仿生：模仿动物的某些结构和功能来发明创造各种________。例如：长颈鹿一抗荷服；蝴蝶一人造卫星控温系统；蝙蝠一雷达；蛋壳一薄壳建筑。,仪器设备
生物,三十、细菌、真菌、病毒,1.菌落：由________细菌或真菌繁殖后形成的肉眼可见的________。,一个；集合体
生物,三十、细菌、真菌、病毒,"2.细菌菌落比较________,表面或_____________或_________________",小；光滑黏稠；粗糙干燥
生物,三十、细菌、真菌、病毒,(1)细菌分类：__________、__________、__________;,球菌、杆菌、螺旋菌
生物,三十、细菌、真菌、病毒,细菌形态分类：_________、__________、___________,球状、杆状、螺旋状
生物,三十、细菌、真菌、病毒,"(2)细菌结构：细菌都具有_______、__________、____________和________________,与动植物细胞结构的主要区别是_________________________________________________________________________________________________________",细胞壁、细胞膜、细胞质和DNA集中区域；
生物,三十、细菌、真菌、病毒,与动植物细胞结构的主要区别是__________属于__________,没有成形的细胞核；原核生物
生物,三十、细菌、真菌、病毒,部分细菌还有特殊结构：________和________。,鞭毛；荚膜
生物,三十、细菌、真菌、病毒,"(3)细菌营养方式：细菌没有叶绿体，_______________,少数自养(如光合细菌、硝化细菌等)。",绝大多数异养
生物,三十、细菌、真菌、病毒,(4)细菌生殖方式是_______________,分裂生殖
生物,三十、细菌、真菌、病毒,★遇不良环境，细胞壁增厚，形成_______________(医疗器械消毒要杀死芽孢)。,休眠体芽孢
生物,三十、细菌、真菌、病毒,★细菌分布广泛相适应的特点：_______________;分裂生殖，__________;不良环境____________。,细菌体积小；繁殖速度快；形成芽孢
生物,三十、细菌、真菌、病毒,"3.真菌菌落比细菌的______,呈_______状、_______状或_________状，呈现不同颜色。",大，呈绒毛状、絮状或蜘蛛网状；
生物,三十、细菌、真菌、病毒,"(1)真菌菌落形态大小：有________的(酵母菌),也有多细胞的(如________等),还有________的(如蘑菇、木耳、灵芝等)。",单细胞；霉菌；大型真菌
生物,三十、细菌、真菌、病毒,"(2)真菌菌落结构：真菌的细胞都有__________、___________、____________和____________,属于_______________",细胞壁、细胞膜、细胞质和细胞核；真核生物
生物,三十、细菌、真菌、病毒,★酵母菌细胞内还有________;多细胞真菌(霉菌、蘑菇)由________(组成。,液泡；菌丝
生物,三十、细菌、真菌、病毒,(3)细菌营养方式：真菌细胞内无叶绿体，________。,异养
生物,三十、细菌、真菌、病毒,(4)细菌生殖方式：主要为_______________(酵母菌还能进行_______________)。注：真菌的颜色是孢子的颜色，不是菌丝的颜色，菌丝是无色透明的。,孢子生殖；
生物,三十、细菌、真菌、病毒,4.细菌、真菌的培养方法：配置培养基→________→________→恒温培养。,高温灭菌；冷种
生物,三十、细菌、真菌、病毒,5.细菌、真菌生存的条件：配置培养基→高温灭菌→冷却、接种→恒温培养________________________________________,适宜的温度、一定的水分、有机物
生物,三十、细菌、真菌、病毒,★.________用自制的显微镜，发现了细菌。,列文虎克
生物,三十、细菌、真菌、病毒,"★.________鹅颈瓶实验，证明细菌不是自然发生的。他还发现了乳酸菌(细菌)、酵母菌(真菌),提出__________________被称“_________________”",巴斯德；巴氏消毒法；微生物学之父
生物,三十、细菌、真菌、病毒,"6.细菌和真菌在自然界中的作用：
(1)作为分解者参与______________:在自然界中，细菌和真菌把动、植物遗体分解成______、____________和________这些物质又能被植物吸收和利用，通过光合作用制造有机物。",物质循环(腐生)；二氧化碳、水，无机盐
生物,三十、细菌、真菌、病毒,(2)引起动植物和人患病(_________):扁桃体炎(链球菌，细菌);足癣、小麦叶锈病(真菌),寄生
生物,三十、细菌、真菌、病毒,(3)与动植物共生(_________):①真菌与藻类植物_________________;②根瘤菌(细菌)与豆科植物植物共生形成根瘤；③肠道内细菌与动物(包括人)共生。,共生形成地衣
生物,三十、细菌、真菌、病毒,7.________________________就是利用生物来防治病虫害。包括以虫治虫、以鸟治虫、以菌治虫。苏云金杆菌(利用其形成的有毒的伴胞晶体)——治松毛虫、玉米螟、棉铃虫、菜青虫等。白僵菌(可使害虫僵化而死)——治松毛虫、玉米螟、大豆食心虫、甘蔗象鼻虫等。,生物防治
生物,三十、细菌、真菌、病毒,"8.人类对细菌和真菌的利用
(1)细菌食品制作：_________(无氧)——酸奶、泡菜；_________(有氧)——醋；
____________________",乳酸菌；醋酸菌
生物,三十、细菌、真菌、病毒,真菌食品制作：_________——酿酒、面包；_________——腐乳、酱油。,酵母菌；霉菌
生物,三十、细菌、真菌、病毒,★面包中的气孔：________产生的二氧化碳气体受热膨胀形成小孔，面包膨大松软。,酵母菌
生物,三十、细菌、真菌、病毒,(2)防止食品腐败的原理：_____________________________________________________,将细菌和真菌杀死或抑制其生长繁殖
生物,三十、细菌、真菌、病毒,食品保存方法：①__________，_____细菌和真菌的生长是__________法(晒制、腌制等),除去水分，抑制；脱水法
生物,三十、细菌、真菌、病毒,食品保存方法：②__________________——冷藏法、冷冻法；③_______________——巴氏消毒法等。,低温抑菌；高温灭菌
生物,三十、细菌、真菌、病毒,"(3)_________的能杀死________的物质，称为________,如青霉素(弗莱明)。",真菌产生；致病细菌；抗生素
生物,三十、细菌、真菌、病毒,(4)将合成________的基因转入大肠杆菌内，进行培养，生产治糖尿病的药物。——________技术。,胰岛素；转基因
生物,三十、细菌、真菌、病毒,(5)________(细菌)(无氧)可以净化污水：沼气的主要成分是________，可燃烧。,甲烷菌；甲烷
生物,三十、细菌、真菌、病毒,9.病毒：(1)病毒学之父：_______________(2)观察仪器：____________。,伊万诺夫斯基；电子显微镜
生物,三十、细菌、真菌、病毒,(3)病毒的种类(根据寄生的细胞不同):_____________、__________________________、_____________________,动物病毒、植物病毒、细菌病毒(也叫作“噬菌体”)
生物,三十、细菌、真菌、病毒,(4)病毒结构：结构简单，没有_______________，仅由_______________和____________________组成。,细胞结构；蛋白质外壳和内部的遗传物质
生物,三十、细菌、真菌、病毒,"(5)病毒营养方式：________,只能寄生在活细胞里，要是离开了活细胞，通常会变成________________。",寄生；结晶体
生物,三十、细菌、真菌、病毒,(6)病毒繁殖：靠自己的遗传物质中的遗传信息，利用寄主细胞内的物质，制造出新的病毒(______________）,自我复制
生物,三十、细菌、真菌、病毒,(7)病毒与人类关系：①有利：制造_______，如乙肝疫苗、流感疫苗等；生物防治和基因工程上的应用等。②有害：使人_______，如艾滋病、乙肝、流感、手足口病、登革热等。,疫苗；基因；患病
生物,三十一、生物多样性,1.生物分类依据(1)植物分类依据：根据植物的________特征，如被子植物的根、茎、叶、花、果实、种子的形态结构，其中____、_____、_____往往作为被子植物分类的重要依据(因为稳定)。,形态结构；花、果实、种子
生物,三十一、生物多样性,★植物类群从简单到复杂的顺序是________植物、________植物、________植物和种子植物。,藻类植物、苔藓植物、蕨类植物
生物,三十一、生物多样性,(2)动物分类依据：_____________________________________________________,形态结构、生理功能、内部构造
生物,三十一、生物多样性,2.分类单位(从大到小):____、____、_____、_____、_____、____、___。基本单位：________,界、门、纲、目、科、属、种；种
生物,三十一、生物多样性,"★界范围_______,包含的生物种类________,亲缘关系________、共同特征________;",最广；最多；最远；最少
生物,三十一、生物多样性,"种范围________包含的生物种类________,亲缘关系________、共同特征________",最小；最少；最近；最多
生物,三十一、生物多样性,3.植物学家________提出科学的生物命名法——双名法:_______________(+命名者姓名)(注意：生物学名：拉丁文，斜体字；命名者：正体),林奈；属名+种加词
生物,三十一、生物多样性,4.生物的多样性包括：____________的多样性、_______________________的多样性、___________________的多样性。,生物种类的多样性、基因的多样性、生态系的多样性
生物,三十一、生物多样性,★生物种类的多样性实质上就是_________的多样性,基因
生物,三十一、生物多样性,"5.生物的多样性面临威胁的原因：①_________，生物栖息环境的破坏和丧失(最重要的原因)
②滥捕乱杀，掠夺式的开发利用；③环境污染；④_________入侵。",滥砍乱伐；外来物种
生物,三十一、生物多样性,★保护生物多样性的根本措施是保护生物的_________，保护________的多样性，保护生物多样性的最有效措施是建立_________,栖息环境；生态系统；自然保护区
生物,三十一、生物多样性,6.保护措施：①建立_________(就地保护);②迁地保护；③建立_________；④完善法律等,自然保护区；种质库
生物,三十一、生物多样性,"★自然保护区是“_________”,是进行科学研究的“天然实验室”,是""活的_________馆”。",天然基因库；自然博物
生物,三十一、生物多样性,7.我国是“______________的故乡”,裸子植物
生物,三十一、生物多样性,★特有的珍稀生物：金丝猴、朱鹮、______(中生代活化石)、______(活化石)、珙桐、藏羚羊。,扬子鳄；银杉
生物,三十二、生物的生殖和发育,1.生殖的分类：(1)有性生殖：____精卵结合，由________发育成新个体。例：种子繁殖、卵生、胎生、________。,有；受精卵；试管婴儿
生物,三十二、生物的生殖和发育,(2)无性生殖：________精卵结合，由________直接产生新个体。例：出芽生殖、孢子生殖、分裂生殖、营养生殖、________。,无；母体；克隆
生物,三十二、生物的生殖和发育,2.植物的生殖有性生殖：________→________→________→形成________。,开花→传粉→受精→果实和种子
生物,三十二、生物的生殖和发育,植物的生殖无性生殖应用：______________________________、压条、分根等。,托插、嫁接、组织培养
生物,三十二、生物的生殖和发育,★扦插切口：__________________；________________________；___________________散失。,上平下斜；去掉大部分叶片；减少水分
生物,三十二、生物的生殖和发育,★嫁接成活的关键：确保接穗与砧木的_______________________。开花结果与接穗相同。,形成层紧密结合
生物,三十二、生物的生殖和发育,★甘薯、葡萄、菊、月季等常用________的方法。,托插
生物,三十二、生物的生殖和发育,苹果、梨、桃等很多________都是利用________来繁育优良品种。,果树；嫁接
生物,三十二、生物的生殖和发育,3.昆虫的生殖和发育：(1)完全变态发育：发育经过卵→________→________→______四个时期。幼虫与成虫形态结构和生活习性差异________。例：家蚕、蜜蜂、蝶、蛾、蝇、蚊。,幼虫→蛹→成虫；很大
生物,三十二、生物的生殖和发育,昆虫的生殖和发育：(2)不完全变态发育：发育经过卵→________→_______三个时期。若虫与成虫形态结构和生活习性差异________。例：蝗虫、蝉、蟋蟀、蝼蛄、螳螂。,卵→若虫→成虫；较小
生物,三十二、生物的生殖和发育,★昆虫的________________:卵生、有性生殖、体内受精,生殖方式
生物,三十二、生物的生殖和发育,4.两栖动物的生殖和发育(1)生殖方式：卵生，有性生殖、________受精。生殖过程：雄蛙鸣叫→抱对→体外受精,体外
生物,三十二、生物的生殖和发育,★雄蛙鸣叫的意义是________;雌雄蛙抱对有利于_______________。,求偶；提高受精率
生物,三十二、生物的生殖和发育,(2)两栖动物发育方式：变态发育发育过程：________→________→_____________→_________。★两栖动物不分完全变态发育或不完全变态发育,受精卵→蝌蚪→幼蛙→成蛙
生物,三十二、生物的生殖和发育,★两栖动物的生殖和发育必须在________进行。水域环境的_______________会影响两栖动物的生殖和发育。,必须在水中；减少和污染
生物,三十二、生物的生殖和发育,5.鸟类的生殖和发育(1)生殖方式：卵生、有性生殖、体内受精、________。,体内受精
生物,三十二、生物的生殖和发育,鸟类的生殖和发育：(2)过程：________、________、筑巢、________、孵卵、育雏,求偶；交配；产卵
